Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,40,41.25,40,41.220001,39.869858,9902100
2014/6/3,41.130001,42.09,41.110001,41.439999,40.082653,9456200
2014/6/4,41.360001,42.900002,41.200001,42.82,41.41745,11931500
2014/6/5,43,43.490002,42.27,42.41,41.020885,8539600
2014/6/6,42.450001,43.919998,42.419998,43.880001,42.44273,13615400
2014/6/9,44,44.43,43.07,43.59,42.162228,11689500
2014/6/10,43.5,43.860001,42.93,43.66,42.229935,8384400
2014/6/11,42.900002,43.290001,42.029999,42.290001,40.904816,13184000
2014/6/12,41.27,41.41,38.849998,40.200001,38.883274,37320100
2014/6/13,40.25,40.919998,39.549999,40.380001,39.057377,13586100
2014/6/16,39.68,41.290001,39.669998,41.060001,39.715107,13633600
2014/6/17,41.080002,42.189999,40.759998,41.869999,40.498566,12523400
2014/6/18,41.93,42.82,41.57,42.66,41.262699,11249400
2014/6/19,42.82,43.490002,42.66,43.060001,41.649593,14116000
2014/6/20,43.040001,44.549999,43.029999,44.549999,43.090782,40641900
2014/6/23,44.299999,44.880001,43.799999,44.360001,42.907017,18454500
2014/6/24,44.139999,44.610001,42.759998,43.18,41.765667,13248100
2014/6/25,42.900002,44,42.299999,43.91,42.471752,10944400
2014/6/26,43.959999,44.599998,43.5,44.549999,43.090782,11174300
2014/6/27,44.299999,44.75,43.91,44,42.558807,41468300
2014/6/30,44.040001,44.080002,42.830002,42.959999,41.552876,10439600
2014/7/1,43.439999,43.900002,43.049999,43.860001,42.423397,9162600
2014/7/2,42.889999,42.950001,41.419998,41.950001,40.575958,19744600
2014/7/3,42.610001,42.939999,41.400002,41.619999,40.25676,8258000
2014/7/7,41.720001,41.720001,39.919998,40.099998,38.786541,14223500
2014/7/8,39.139999,40.330002,37.900002,40.259998,38.941299,26399400
2014/7/9,42.080002,42.349998,40.509998,41.990002,40.614639,20468300
2014/7/10,41,42.98,40.77,42.82,41.41745,11827200
2014/7/11,42.91,43.23,42.52,42.880001,41.475491,8135500
2014/7/14,43.259998,43.59,42.73,42.98,41.572205,7214700
2014/7/15,43.330002,43.73,42.779999,43.700001,42.268635,8358400
2014/7/16,44,44,43.299999,43.48,42.055832,6371100
2014/7/17,43.040001,43.439999,41.650002,41.700001,40.334141,13919700
2014/7/18,42.23,43.220001,42.150002,42.919998,41.514175,8869000
